CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;PHI;TIMEOUT
200.17.202.35;54113;1745543401635598433;1745543401643815168;856324;11;99971305.60334542;694854.2128643496;123191504;1.745543401746566e+18
200.17.202.35;54113;1745543401735608638;1745543401743597824;856325;11;99952440.64301088;644233.751912457;132871393;1.745543401846127e+18
200.17.202.35;54113;1745543401835593912;1745543401843747584;856326;11;99972172.5787098;599542.3124201229;142776139;1.745543401946118e+18
200.17.202.35;54113;1745543401935614728;1745543401943720704;856327;11;99972267.32083882;539682.8233071311;158612491;1.7455434020458516e+18
200.17.202.35;54113;1745543402035587961;1745543402043850496;856328;11;99988019.78875494;501467.0088925356;170700237;1.7455434021458445e+18
200.17.202.35;54113;1745543402135638627;1745543402143927040;856329;11;99996872.20987946;460172.72912778804;186018493;1.7455434022457646e+18
200.17.202.35;54113;1745543402235586223;1745543402243637760;856330;11;99968256.98889151;442770.67720295506;193329737;1.745543402345377e+18
200.17.202.35;54113;1745543402335611070;1745543402344005888;856331;11;100008244.09000236;438480.7105935083;195221446;1.745543402445768e+18
200.17.202.35;54113;1745543402435602885;1745543402443977728;856332;11;100004603.68100213;398273.0485343933;214930283;1.7455434025455754e+18
200.17.202.35;54113;1745543402535620181;1745543402543637760;856333;11;99970146.51290192;392902.9117811665;217868175;1.7455434026451794e+18
200.17.202.35;54113;1745543402635608647;1745543402643780864;856334;11;99987442.26161173;370908.36931285815;230787838;1.7455434027452518e+18
200.17.202.35;54113;1745543402735608912;1745543402743873024;856335;11;99997914.03545056;344289.3062203994;248631716;1.745543402845248e+18
200.17.202.35;54113;1745543402835610858;1745543402843717376;856336;11;99982557.83190551;325216.5791434157;263213339;1.7455434029450007e+18
200.17.202.35;54113;1745543402935603364;1745543402943710976;856337;11;99983662.04871497;293799.1380385228;291360427;1.74554340304487e+18
200.17.202.35;54113;1745543403035630929;1745543403043877632;856338;11;100001961.44384347;282718.61936317396;302779996;1.7455434031450104e+18
200.17.202.35;54113;1745543403135618415;1745543403143741440;856339;11;99988146.09945913;268262.10181120347;319097042;1.7455434032448026e+18
200.17.202.35;54113;1745543403235616771;1745543403243534592;856340;11;99968646.68951322;260935.30157599578;328057353;1.745543403344547e+18
200.17.202.35;54113;1745543403335619301;1745543403343937280;856341;11;100012050.8205619;278245.90246707405;307648175;1.7455434034450624e+18
200.17.202.35;54113;1745543403435610136;1745543403443933440;856342;11;100010461.7385057;252010.3942765567;339676245;1.745543403544952e+18
200.17.202.35;54113;1745543403535643012;1745543403543826176;856343;11;99998689.16465513;238581.92869947167;358795177;1.7455434036447793e+18
200.17.202.35;54113;1745543403635617918;1745543403643675392;856344;11;99983741.84818962;229671.0522950379;372716306;1.7455434037445778e+18
200.17.202.35;54113;1745543403735616972;1745543403743624704;856345;11;99980298.86337067;210146.93188449633;407344737;1.7455434038444457e+18
200.17.202.35;54113;1745543403835617218;1745543403843906560;856346;11;100010454.5770336;219287.9523589795;390365024;1.745543403944794e+18
200.17.202.35;54113;1745543403935596113;1745543403943870208;856347;11;100005773.91933024;202039.814826441;423690981;1.745543404044684e+18
200.17.202.35;54113;1745543404035639289;1745543404043799552;856348;11;99998130.92739722;189478.82527682083;451778967;1.7455434041445555e+18
200.17.202.35;54113;1745543404135588360;1745543404143626496;856349;11;99981012.2346575;187649.6354888609;456183401;1.7455434042443581e+18
200.17.202.35;54113;1745543404235600006;1745543404243602944;856350;11;99980555.81119175;169341.09540572442;505504877;1.7455434043442609e+18
200.17.202.35;54113;1745543404335612872;1745543404343875840;856351;11;100009789.83007257;181641.0047459767;471274918;1.745543404444612e+18
200.17.202.35;54113;1745543404435610547;1745543404443670016;856352;11;99988228.44706531;185038.28727863575;462622908;1.7455434045443983e+18
200.17.202.35;54113;1745543404535598208;1745543404543608320;856353;11;99983236.00235876;171526.90325730303;499064867;1.7455434046442778e+18
200.17.202.35;54113;1745543404635603054;1745543404644026880;856354;11;100026768.40212288;197906.61269569627;432543156;1.7455434047448453e+18
200.17.202.35;54113;1745543404735611140;1745543404743968000;856355;11;100018203.5619106;186680.79163841513;458554149;1.745543404844733e+18
200.17.202.35;54113;1745543404835587555;1745543404843620096;856356;11;99981592.80571954;204623.46866563358;418345723;1.74554340494442e+18
200.17.202.35;54113;1745543404935608931;1745543404943547904;856357;11;99976214.32514758;189539.6023710242;451638879;1.7455434050442824e+18
200.17.202.35;54113;1745543405035612866;1745543405043710720;856358;11;99994874.49263282;189245.8096191634;452340551;1.7455434051444626e+18
200.17.202.35;54113;1745543405135606525;1745543405143511552;856359;11;99975470.24336955;189725.47792052917;451197466;1.745543405244246e+18
200.17.202.35;54113;1745543405235615571;1745543405243835648;856360;11;100010332.8190326;205615.5057915213;416329276;1.7455434053446684e+18
200.17.202.35;54113;1745543405335605737;1745543405343491584;856361;11;99974893.13712934;220493.63711562863;388237308;1.7455434054443484e+18
200.17.202.35;54113;1745543405435609662;1745543405443700736;856362;11;99998319.02341641;221870.1596911321;385829064;1.7455434055445865e+18
200.17.202.35;54113;1745543405535610178;1745543405543759616;856363;11;100004375.12107478;205739.2413803774;416080355;1.745543405644587e+18
200.17.202.35;54113;1745543405635616154;1745543405643899904;856364;11;100017966.4089673;198756.60513486157;430698425;1.745543405744713e+18
200.17.202.35;54113;1745543405735606609;1745543405743668480;856365;11;99993027.36807057;203819.98551810553;419999332;1.7455434058444767e+18
