CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;INTERVAL;DELAY;VARIATION;TIMEOUT
200.17.202.34;60920;1745023507677980717;1745023507678501376;860690;0;100176640;100013415.7085537;97181.06475245871;100402139.96756354
200.17.202.34;60920;1745023507777955702;1745023507778293248;860691;0;99791872;99991261.33769834;107401.89204704689;100420868.90588653
200.17.202.34;60920;1745023507877972431;1745023507878302208;860692;0;100008960;99993031.20392852;98254.58244949067;100386049.53372648
200.17.202.34;60920;1745023507977963834;1745023507978458112;860693;0;100155904;100009318.48353568;103087.67585097389;100421669.18693957
200.17.202.34;60920;1745023508077965280;1745023508078499584;860694;0;100041472;100012533.83518212;95672.72474766495;100395224.73417278
200.17.202.34;60920;1745023508177953153;1745023508178451968;860695;0;99952384;100006518.85166392;91518.9374392902;100372594.60142107
200.17.202.34;60920;1745023508277968144;1745023508278341376;860696;0;99889408;99994807.76649752;92907.02034511344;100366435.84787798
200.17.202.34;60920;1745023508377955727;1745023508378481408;860697;0;100140032;100009330.18984778;96686.49932582388;100396076.18715107
200.17.202.34;60920;1745023508477963204;1745023508478284032;860698;0;99802624;99988659.57086301;105621.40647954235;100411145.19678117
200.17.202.34;60920;1745023508577965698;1745023508578568704;860699;0;100284672;100018260.81377672;121700.38445391646;100505062.35159238
200.17.202.34;60920;1745023508677979086;1745023508678603008;860700;0;100034304;100019865.13239905;110974.23276861956;100463762.06347354
200.17.202.34;60920;1745023508777974331;1745023508778609408;860701;0;100006400;100018518.61915915;101088.67140767233;100422873.30478984
200.17.202.34;60920;1745023508877944227;1745023508878610432;860702;0;100001024;100016769.15724324;92554.31999122878;100386986.43720815
200.17.202.34;60920;1745023508977965170;1745023508978510848;860703;0;99900416;100005133.84151891;93770.67214399678;100380216.53009489
200.17.202.34;60920;1745023509077964349;1745023509078334720;860704;0;99823872;99987007.65736702;100707.1706662992;100389836.34003222
200.17.202.34;60920;1745023509177962195;1745023509178357248;860705;0;100022528;99990559.69163032;93833.28443663739;100365892.82937686
200.17.202.34;60920;1745023509277951784;1745023509278497536;860706;0;100140288;100005532.52246729;97925.50374624511;100397234.53745227
200.17.202.34;60920;1745023509377959043;1745023509378509824;860707;0;100012288;100006208.07022056;88740.94634956462;100361171.85561882
200.17.202.34;60920;1745023509477967091;1745023509478328064;860708;0;99818240;99987411.26319851;96783.97803445914;100374547.17533635
200.17.202.34;60920;1745023509577935637;1745023509578350848;860709;0;100022784;99990948.53687866;90289.1265431472;100352105.04305124
200.17.202.34;60920;1745023509677953744;1745023509678299392;860710;0;99948544;99986708.0831908;85076.62220791235;100327014.57202245
200.17.202.34;60920;1745023509777954371;1745023509778321408;860711;0;100022016;99990238.87487172;79746.67249994953;100309225.56487152
200.17.202.34;60920;1745023509877984978;1745023509878328576;860712;0;100007168;99991931.78738454;73295.6265115006;100285114.29343054
200.17.202.34;60920;1745023509977945012;1745023509978284800;860713;0;99956224;99988361.0086461;69179.76472496061;100265080.06754595
200.17.202.34;60920;1745023510077966818;1745023510078357248;860714;0;100072448;99996769.7077815;69829.61747431518;100276088.17767875
200.17.202.34;60920;1745023510177970071;1745023510178347520;860715;0;99990272;99996119.93700334;63431.44942721809;100249845.73471221
