CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;TIMEOUT
200.17.202.34;60920;1745022736877975958;1745022736878445312;852982;0;1.7450227359784294e+18;1000013948.0916032;1.7450227399784852e+18
200.17.202.34;60920;1745022736977942125;1745022736978415360;852983;0;1.745022736078428e+18;1000011145.2824428;1.7450227400784724e+18
200.17.202.34;60920;1745022737077976494;1745022737078459648;852984;0;1.745022736178431e+18;1000013205.1541985;1.7450227401784837e+18
200.17.202.34;60920;1745022737177977732;1745022737178403072;852985;0;1.7450227362784282e+18;1000009094.2387787;1.7450227402784645e+18
200.17.202.34;60920;1745022737277967000;1745022737278443264;852986;0;1.7450227363784297e+18;1000009695.2149009;1.7450227403784684e+18
200.17.202.34;60920;1745022737377975749;1745022737378444288;852987;0;1.7450227364784312e+18;1000010184.8934107;1.745022740478472e+18
200.17.202.34;60920;1745022737477947897;1745022737478362368;852988;0;1.7450227365784243e+18;1000002280.0040697;1.7450227405784335e+18
200.17.202.34;60920;1745022737577975454;1745022737578395392;852989;0;1.7450227366784215e+18;999999159.2036626;1.7450227406784182e+18
200.17.202.34;60920;1745022737677955840;1745022737678387968;852990;0;1.7450227367784182e+18;999995889.6832963;1.7450227407784018e+18
200.17.202.34;60920;1745022737777958298;1745022737778397952;852991;0;1.7450227368784164e+18;999994278.3149667;1.7450227408783936e+18
200.17.202.34;60920;1745022737877971030;1745022737878433792;852992;0;1.7450227369784182e+18;999996591.28347;1.7450227409784046e+18
200.17.202.34;60920;1745022737977976779;1745022737978430208;852993;0;1.7450227370784195e+18;999998135.3551229;1.745022741078412e+18
200.17.202.34;60920;1745022738077958517;1745022738078402816;852994;0;1.745022737178418e+18;999996657.8196106;1.7450227411784046e+18
200.17.202.34;60920;1745022738177964917;1745022738178344448;852995;0;1.7450227372784108e+18;999989644.8376495;1.7450227412783693e+18
200.17.202.34;60920;1745022738277935805;1745022738278274048;852996;0;1.7450227373783972e+18;999977009.9538846;1.7450227413783053e+18
200.17.202.34;60920;1745022738377963724;1745022738378348800;852997;0;1.7450227374783923e+18;999974470.5584962;1.7450227414782902e+18
200.17.202.34;60920;1745022738477949482;1745022738478285056;852998;0;1.7450227375783816e+18;999966297.1026467;1.7450227415782467e+18
200.17.202.34;60920;1745022738577957250;1745022738578334976;852999;0;1.745022737678377e+18;999965008.192382;1.745022741678237e+18
200.17.202.34;60920;1745022738677935665;1745022738678347008;853000;0;1.745022737778374e+18;999965512.1731437;1.745022741778236e+18
200.17.202.34;60920;1745022738777951133;1745022738778509568;853001;0;1.7450227378783875e+18;999982528.9558294;1.7450227418783176e+18
200.17.202.34;60920;1745022738877951788;1745022738878288896;853002;0;1.7450227379783777e+18;999974420.0602465;1.7450227419782753e+18
200.17.202.34;60920;1745022738977936076;1745022738978321408;853003;0;1.745022738078372e+18;999971346.0542219;1.7450227420782574e+18
200.17.202.34;60920;1745022739077944283;1745022739078336512;853004;0;1.7450227381783685e+18;999970653.0487998;1.745022742178251e+18
200.17.202.34;60920;1745022739177951705;1745022739178280192;853005;0;1.7450227382783596e+18;999964755.7439198;1.7450227422782185e+18
200.17.202.34;60920;1745022739277943183;1745022739278305024;853006;0;1.7450227383783542e+18;999962827.3695278;1.7450227423782054e+18
200.17.202.34;60920;1745022739377960302;1745022739378555648;853007;0;1.7450227384783744e+18;999986691.832575;1.7450227424783212e+18
200.17.202.34;60920;1745022739477940470;1745022739478273280;853008;0;1.7450227385783642e+18;999977910.6493175;1.7450227425782758e+18
200.17.202.34;60920;1745022739577957887;1745022739578319360;853009;0;1.7450227386783598e+18;999975639.5843858;1.7450227426782623e+18
200.17.202.34;60920;1745022739677953382;1745022739678333696;853010;0;1.7450227387783572e+18;999975464.4259472;1.7450227427782592e+18
200.17.202.34;60920;1745022739777964000;1745022739778384384;853011;0;1.7450227388783598e+18;999980631.5833526;1.7450227428782822e+18
200.17.202.34;60920;1745022739877946792;1745022739878389760;853012;0;1.745022738978363e+18;999985563.6250173;1.745022742978305e+18
200.17.202.34;60920;1745022739977951491;1745022739978514432;853013;0;1.745022739078378e+18;1000002162.4625155;1.7450227430783867e+18
200.17.202.34;60920;1745022740077946139;1745022740078353408;853014;0;1.7450227391783757e+18;999999488.6162639;1.7450227431783736e+18
200.17.202.34;60920;1745022740177975308;1745022740178383616;853015;0;1.7450227392783764e+18;1000000333.3546375;1.7450227432783777e+18
200.17.202.34;60920;1745022740277973632;1745022740278377728;853016;0;1.7450227393783764e+18;1000000428.0191737;1.7450227433783782e+18
200.17.202.34;60920;1745022740377978470;1745022740378452992;853017;0;1.745022739478384e+18;1000008039.6172564;1.7450227434784164e+18
200.17.202.34;60920;1745022740477981369;1745022740478445568;853018;0;1.7450227395783903e+18;1000013379.6555308;1.7450227435784438e+18
200.17.202.34;60920;1745022740577968485;1745022740578404096;853019;0;1.7450227396783916e+18;1000013424.0899777;1.7450227436784453e+18
200.17.202.34;60920;1745022740677956713;1745022740678316288;853020;0;1.745022739778384e+18;1000004555.28098;1.745022743778402e+18
200.17.202.34;60920;1745022740777968151;1745022740778382592;853021;0;1.7450227398783836e+18;1000003971.752882;1.7450227438783995e+18
200.17.202.34;60920;1745022740877964080;1745022740878431232;853022;0;1.7450227399783885e+18;1000008336.1775938;1.7450227439784218e+18
200.17.202.34;60920;1745022740977972258;1745022740978426624;853023;0;1.7450227400783923e+18;1000011316.9598345;1.7450227440784376e+18
200.17.202.34;60920;1745022741077949416;1745022741078387968;853024;0;1.7450227401783918e+18;1000009750.063851;1.7450227441784307e+18
200.17.202.34;60920;1745022741177966243;1745022741178393856;853025;0;1.745022740278392e+18;1000008979.8574659;1.745022744278428e+18
200.17.202.34;60920;1745022741277966261;1745022741278400256;853026;0;1.7450227403783928e+18;1000008901.0717192;1.7450227443784284e+18
200.17.202.34;60920;1745022741377964467;1745022741378397440;853027;0;1.745022740478393e+18;1000008471.7645472;1.745022744478427e+18
200.17.202.34;60920;1745022741477946842;1745022741478407680;853028;0;1.7450227405783946e+18;1000009083.7880925;1.745022744578431e+18
200.17.202.34;60920;1745022741577964000;1745022741578405888;853029;0;1.745022740678396e+18;1000009301.8092833;1.745022744678433e+18
200.17.202.34;60920;1745022741677967914;1745022741678387968;853030;0;1.7450227407783951e+18;1000007578.0283549;1.7450227447784253e+18
200.17.202.34;60920;1745022741777965262;1745022741778370304;853031;0;1.7450227408783928e+18;1000004337.0255194;1.7450227448784102e+18
200.17.202.34;60920;1745022741877955469;1745022741878368256;853032;0;1.7450227409783905e+18;1000001445.7229674;1.7450227449783964e+18
200.17.202.34;60920;1745022741977964897;1745022741978402048;853033;0;1.7450227410783916e+18;1000002453.1506706;1.7450227450784013e+18
200.17.202.34;60920;1745022742077948846;1745022742078364160;853034;0;1.7450227411783887e+18;999999468.6356035;1.7450227451783867e+18
200.17.202.34;60920;1745022742177959904;1745022742178314496;853035;0;1.7450227412783813e+18;999992097.7720432;1.7450227452783498e+18
200.17.202.34;60920;1745022742277975423;1745022742278411520;853036;0;1.7450227413783841e+18;999995908.7948389;1.7450227453783677e+18
200.17.202.34;60920;1745022742377991031;1745022742378472448;853037;0;1.745022741478393e+18;1000005149.9153551;1.7450227454784136e+18
200.17.202.34;60920;1745022742477967499;1745022742478388992;853038;0;1.7450227415783926e+18;1000004225.3238195;1.7450227455784095e+18
200.17.202.34;60920;1745022742577967807;1745022742578350336;853039;0;1.7450227416783885e+18;999999578.7914376;1.7450227456783867e+18
200.17.202.34;60920;1745022742677954538;1745022742678369024;853040;0;1.7450227417783867e+18;999997675.3122939;1.7450227457783775e+18
200.17.202.34;60920;1745022742777966646;1745022742778383104;853041;0;1.7450227418783864e+18;999997549.3810645;1.7450227458783767e+18
200.17.202.34;60920;1745022742877961565;1745022742878318848;853042;0;1.7450227419783795e+18;999991036.0429581;1.7450227459783437e+18
200.17.202.34;60920;1745022742977969093;1745022742978349312;853043;0;1.7450227420783764e+18;999988911.6386622;1.7450227460783322e+18
200.17.202.34;60920;1745022743077988971;1745022743078406144;853044;0;1.7450227421783793e+18;999992990.0747961;1.745022746178351e+18
200.17.202.34;60920;1745022743177970373;1745022743178384384;853045;0;1.7450227422783798e+18;999994203.0673165;1.7450227462783565e+18
200.17.202.34;60920;1745022743277980781;1745022743278369024;853046;0;1.7450227423783788e+18;999993707.5605849;1.7450227463783537e+18
200.17.202.34;60920;1745022743377962949;1745022743378480896;853047;0;1.745022742478389e+18;1000004551.2045264;1.7450227464784072e+18
200.17.202.34;60920;1745022743477937587;1745022743478347520;853048;0;1.7450227425783846e+18;999999948.8840737;1.7450227465783844e+18
200.17.202.34;60920;1745022743577971021;1745022743578368512;853049;0;1.745022742678383e+18;999998341.1956663;1.7450227466783764e+18
200.17.202.34;60920;1745022743677944899;1745022743678296832;853050;0;1.7450227427783747e+18;999989879.8760997;1.7450227467783342e+18
